REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWROCGKENXX00,GASKEN,1,2020,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2021,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2022,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2023,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2024,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2025,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2026,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2027,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2028,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2029,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2030,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2031,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2032,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2033,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2034,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2035,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2036,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2037,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2038,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2039,2.99
GLOBAL,PWROCGKENXX00,GASKEN,1,2040,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2020,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2021,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2022,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2023,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2024,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2025,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2026,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2027,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2028,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2029,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2030,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2031,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2032,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2033,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2034,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2035,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2036,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2037,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2038,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2039,2.99
GLOBAL,PWROCGKENXX00,GASINT,2,2040,2.99
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2020,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2021,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2022,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2023,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2024,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2025,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2026,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2027,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2028,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2029,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2030,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2031,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2032,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2033,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2034,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2035,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2036,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2037,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2038,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2039,1.0
GLOBAL,PWRHYDKENXX01,HYDKENXX,1,2040,1.0
GLOBAL,PWROILKENXX01,OILKEN,1,2020,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2021,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2022,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2023,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2024,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2025,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2026,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2027,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2028,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2029,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2030,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2031,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2032,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2033,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2034,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2035,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2036,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2037,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2038,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2039,2.78
GLOBAL,PWROILKENXX01,OILKEN,1,2040,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2020,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2021,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2022,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2023,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2024,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2025,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2026,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2027,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2028,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2029,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2030,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2031,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2032,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2033,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2034,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2035,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2036,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2037,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2038,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2039,2.78
GLOBAL,PWROILKENXX01,OILINT,2,2040,2.78
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2020,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2021,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2022,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2023,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2024,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2025,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2026,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2027,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2028,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2029,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2030,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2031,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2032,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2033,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2034,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2035,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2036,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2037,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2038,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2039,1.0
GLOBAL,PWRSPVKENXX01,SPVKENXX,1,2040,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2020,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2021,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2022,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2023,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2024,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2025,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2026,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2027,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2028,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2029,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2030,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2031,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2032,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2033,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2034,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2035,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2036,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2037,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2038,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2039,1.0
GLOBAL,PWROTHKENXX01,OTHKEN,1,2040,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2020,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2021,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2022,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2023,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2024,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2025,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2026,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2027,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2028,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2029,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2030,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2031,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2032,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2033,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2034,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2035,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2036,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2037,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2038,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2039,1.0
GLOBAL,PWROTHKENXX01,OTHINT,2,2040,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2020,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2021,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2022,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2023,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2024,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2025,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2026,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2027,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2028,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2029,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2030,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2031,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2032,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2033,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2034,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2035,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2036,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2037,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2038,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2039,1.0
GLOBAL,PWRCSPKENXX01,CSPKENXX,1,2040,1.0
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2020,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2029,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2030,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2031,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2032,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2033,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2034,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2035,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2036,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2037,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2038,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2039,3.16
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2040,3.16
GLOBAL,PWRCOAKENXX01,COAKEN,1,2020,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2021,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2022,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2023,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2024,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2025,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2026,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2027,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2028,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2029,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2030,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2031,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2032,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2033,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2034,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2035,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2036,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2037,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2038,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2039,2.92
GLOBAL,PWRCOAKENXX01,COAKEN,1,2040,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2020,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2021,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2022,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2023,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2024,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2025,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2026,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2027,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2028,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2029,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2030,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2031,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2032,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2033,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2034,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2035,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2036,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2037,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2038,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2039,2.92
GLOBAL,PWRCOAKENXX01,COAINT,2,2040,2.92
GLOBAL,PWRURNKENXX01,URNKEN,1,2020,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2021,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2022,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2023,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2024,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2025,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2026,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2027,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2028,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2029,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2030,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2031,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2032,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2033,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2034,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2035,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2036,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2037,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2038,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2039,1.08
GLOBAL,PWRURNKENXX01,URNKEN,1,2040,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2020,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2021,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2022,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2023,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2024,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2025,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2026,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2027,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2028,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2029,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2030,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2031,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2032,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2033,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2034,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2035,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2036,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2037,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2038,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2039,1.08
GLOBAL,PWRURNKENXX01,URNINT,2,2040,1.08
GLOBAL,PWRWONKENXX01,WONKENXX,1,2020,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2021,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2022,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2023,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2024,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2025,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2026,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2027,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2028,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2029,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2030,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2031,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2032,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2033,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2034,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2035,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2036,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2037,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2038,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2039,1.0
GLOBAL,PWRWONKENXX01,WONKENXX,1,2040,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2020,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2021,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2022,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2023,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2024,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2025,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2026,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2027,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2028,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2029,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2030,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2031,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2032,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2033,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2034,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2035,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2036,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2037,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2038,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2039,1.0
GLOBAL,PWRWASKENXX01,WASKENXX,1,2040,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2020,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2021,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2022,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2023,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2024,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2025,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2026,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2027,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2028,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2029,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2030,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2031,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2032,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2033,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2034,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2035,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2036,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2037,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2038,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2039,1.0
GLOBAL,PWRWOFKENXX01,WOFKENXX,1,2040,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2020,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2021,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2022,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2023,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2024,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2025,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2026,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2027,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2028,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2029,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2030,1.0
GLOBAL,PWRWAVKENXX01,WAVKENXX,1,2031,1.0
